#역1,역2,거리[m],시간
#1호선		거리(km)	시간(min)
#
소요산역 1호선	동두천역 1호선	2.5	3
동두천역 1호선	보산역 1호선	1.6	3
보산역 1호선	동두천중앙역 1호선	1.4	2
동두천중앙역 1호선	지행역 1호선	1	2
지행역 1호선	덕정역 1호선	5.6	5
덕정역 1호선	덕계역 1호선	2.6	4
덕계역 1호선	양주역 1호선	3.1	5
양주역 1호선	녹양역 1호선	1.6	2
녹양역 1호선	가능역 1호선	1.3	2
가능역 1호선	의정부역 1호선	1.2	3
의정부역 1호선	회룡역 1호선	1.6	3
회룡역 1호선	망월사역 1호선	1.4	2
망월사역 1호선	도봉산역 1호선	2.3	3
도봉산역 1호선	도봉역 1호선	1.2	2
도봉역 1호선	방학역 1호선	1.3	2
방학역 1호선	창동역 1호선	1.7	3
창동역 1호선	녹천역 1호선	1	2
녹천역 1호선	월계역 1호선	1.4	2
월계역 1호선	광운대역 1호선	1.1	3
광운대역 1호선	석계역 1호선	1.1	3
석계역 1호선	신이문역 1호선	1.4	2
신이문역 1호선	외대앞역 1호선	0.8	2
외대앞역 1호선	회기역 1호선	0.8	2
회기역 1호선	청량리역 1호선	1.4	3
청량리역 1호선	제기동역 1호선	1	2
제기동역 1호선	신설동역 1호선	0.9	2
신설동역 1호선	동묘앞역 1호선	0.7	2
동묘앞역 1호선	동대문역 1호선	0.6	1
동대문역 1호선	종로5가역 1호선	0.8	2
종로5가역 1호선	종로3가역 1호선	0.9	2
종로3가역 1호선	종각역 1호선	0.8	2
종각역 1호선	시청역 1호선	1	3
시청역 1호선	서울역 1호선	1.1	2
서울역 1호선	남영역 1호선	1.7	3
남영역 1호선	용산역 1호선	1.5	3
용산역 1호선	노량진역 1호선	0.8	3
노량진역 1호선	대방역 1호선	1.8	3
대방역 1호선	신길역 1호선	1.5	1
신길역 1호선	영등포역 1호선	0.8	3
영등포역 1호선	신도림역 1호선	1	2
신도림역 1호선	구로역 1호선	1.5	3
구로역 1호선	구일역 1호선	1.1	2.2
구일역 1호선	개봉역 1호선	2.3	2.2
개봉역 1호선	오류동역 1호선	1.5	2.2
오류동역 1호선	온수역 1호선	1.5	2.2
온수역 1호선	역곡역 1호선	1.5	2.2
역곡역 1호선	소사역 1호선	1.5	2.2
소사역 1호선	부천역 1호선	1.5	2.2
부천역 1호선	중동역 1호선	1.5	2.2
중동역 1호선	송내역 1호선	1.5	2.2
송내역 1호선	부개역 1호선	1.5	2.2
부개역 1호선	부평역 1호선	1.5	2.2
부평역 1호선	백운역 1호선	1.5	2.2
백운역 1호선	동암역 1호선	1.5	2.2
동암역 1호선	간석역 1호선	1.5	2.2
간석역 1호선	주안역 1호선	1.5	2.2
주안역 1호선	도화역 1호선	1.5	2.2
