#id	title	latitude	longitude	othernames	category	subcategory	subsubcategory	Addresscode_1	AddressCode_2	AddressCode_3	Detailed_address	BusinessHours	closingdays	parkingLot	cost	publicTransportationAccess	satisfaction	spendingTime	spendingTimeSD	placeURL
daum.8376582	선일양봉원	33.50707194171397	126.50892981330323		쇼핑	식품	건강식품	대한민국	제주특별자치도	제주시	용담2동 647-5 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	8.0	1.0	0.1	http://place.map.daum.net/8376582
daum.8265854	동문재래시장	33.5118051071048	126.52601188140589		쇼핑	시장	시장	대한민국	제주특별자치도	제주시	이도1동 1436-7 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	9.0	2.0	0.1	http://place.map.daum.net/8265854
daum.8265854	동문시장	33.5118051071048	126.52601188140589		쇼핑	시장	시장	대한민국	제주특별자치도	제주시	이도1동 1436-7 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	7.0	0.5	0.1	http://place.map.daum.net/8265854
daum.27135886	JDC 제주면세점	33.5199647407593	126.53415661762999		쇼핑	면세점	면세점	대한민국	제주특별자치도	제주시	건입동 918-31 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	4.0	1.0	0.1	http://place.map.daum.net/27135886
daum.18525725	보성시장	33.503251252636055	126.52801717956751		쇼핑	시장	시장	대한민국	제주특별자치도	제주시	이도1동 1289-14 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	9.0	2.0	0.1	http://place.map.daum.net/18525725
daum.19397053	한림5일시장	33.42018578618243	126.27416265532395		쇼핑	시장	시장	대한민국	제주특별자치도	제주시	한림읍 대림리 1711-1 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	5.0	1.0	0.1	http://place.map.daum.net/19397053
daum.12721347	한림매일시장	33.41659493707652	126.26394037370099		쇼핑	시장	시장	대한민국	제주특별자치도	제주시	한림읍 한림리 1314-2 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	3.0	2.0	0.1	http://place.map.daum.net/12721347
daum.18526100	모슬포 중앙시장	33.22184562298769	126.25486991938452		쇼핑	시장	시장	대한민국	제주특별자치도	서귀포시	대정읍 하모리 822-7 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	8.0	1.0	0.1	http://place.map.daum.net/18526100
daum.25020856	중문 5일시장	33.25079212966985	126.4241739384358		쇼핑	시장	시장	대한민국	제주특별자치도	서귀포시	중문동 2123-1 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	4.0	0.5	0.1	http://place.map.daum.net/25020856
daum.7938166	서귀포매일올레시장	33.25031016307194	126.56363425878156		쇼핑	시장	시장	대한민국	제주특별자치도	서귀포시	서귀동 277-1 	{""weekDayOpen"":""09:00"",""weekDayOpenHour"":9.0,""weekDayClose"":""19:00"",""weekDayCloseHour"":19.0,""saturdayOpen"":""09:00"",""saturdayOpenHour"":9.0,""saturdayClose"":""19:00"",""saturdayCloseHour"":19.0,""sundayOpen"":""09:00"",""sundayOpenHour"":9.0,""sundayClose"":""19:00"",""sundayCloseHour"":19.0}	{""weeklyClosingDays"":[],""monthlyClosingDayOfWeeks"":[],""yearlyClosingDays"":[]}	-1	-1	[]	9.0	2.0	0.1	http://place.map.daum.net/7938166
