#Titles	Category	subCategory	subsubcategory	Cost	spending min	spending min sd	open hour	close hour
감귤 박물관	문화,예술	문화시설	미술관/박물관	1500	60	10	9:00	18:00
곽지과물해변	여행	관광,명소	해수욕장/해변	1000	30	10	7:30	20:00
관덕정	여행	관광,명소	역사유적	1500	30	10	9:00	18:00
국립제주박물관	문화,예술	문화시설	미술관/박물관	0	40	5	9:00	18:00
금능석물원	여행	관광,명소	미술관/박물관	4000	60	10	8:30	18:00
김영갑갤러리두모악	문화,예술	문화시설	미술관/박물관	3000	30	5	9:30	18:00
남원큰엉해안경승지	여행	관광,명소	자연경관	0	30	5	7:30	18:00
넥슨컴퓨터박물관	문화,예술	문화시설	미술관/박물관	8000	60	10	10:00	18:00
노루생태관찰원	여행	관광,명소	테마파크	0	40	5	9:00	17:00
다랑쉬	여행	관광,명소	산봉우리/등산로	0	80	15	7:30	18:00
대정향교	여행	관광,명소	역사유적	0	30	10	9:00	17:30
대포주상절리	여행	관광,명소	자연경관	3000	40	15	8:00	18:00
도순설록다원	여행	관광,명소	관광농원	0	20	5	9:00	18:00
돈내코유원지	여행	관광,명소	폭포/계곡	0	40	10	9:00	18:00
동백동산	여행	관광,명소	산봉우리/등산로	0	120	20	9:00	18:00
두산봉	여행	관광,명소	산봉우리/등산로	0	60	10	7:30	18:00
따라비오름	여행	관광,명소	산봉우리/등산로	0	40	15	8:00	18:00
만장굴	여행	관광,명소	동굴	2000	30	10	9:00	18:00
메이즈랜드	여행	관광,명소	테마파크	9000	60	30	9:00	17:30
물영아리	여행	관광,명소	산봉우리/등산로	0	70	25	7:30	18:00
미로공원	여행	관광,명소	테마파크	3300	36	20	8:30	17:30
박물관은살아있다 제주중문점	문화,예술	문화시설	미술관/박물관	10000	110	20	9:00	21:30
백약이오름	여행	관광,명소	산봉우리/등산로	0	60	10	7:30	18:00
별빛누리 공원	여행	관광,명소	공원	5000	80	20	14:00	22:00
붉은오름자연휴양림	여행	관광,명소	휴양림/숲길걷기	1000	50	10	9:00	18:00
비양도	여행	관광,명소	섬	2000	240	30	9:00	15:00
비자림	여행	관광,명소	휴양림/숲길걷기	1500	60	20	9:00	18:00
사계해변	여행	관광,명소	해수욕장/해변	1000	30	10	7:30	20:00
사라봉	여행	관광,명소	산봉우리/등산로	0	60	10	7:30	18:00
사려니숲길	여행	관광,명소	휴양림/숲길걷기	0	180	60	8:00	18:30
산굼부리	여행	관광,명소	산봉우리/등산로	6000	40	10	9:00	17:00
산방산사랑의유람선	여행	관광,명소	투어버스/유람선/관광열차	15000	60	30	11:20	16:30
산방산탄산온천	여행	관광,명소	온천	11000	90	30	5:00	23:59
삼성혈	여행	관광,명소	역사유적	1000	30	10	8:30	17:30
삼양검은모래해변	여행	관광,명소	해수욕장/해변	1000	30	10	7:30	20:00
새별오름	여행	관광,명소	산봉우리/등산로	0	60	10	7:30	18:00
새섬	여행	관광,명소	자연경관	0	20	10	7:30	23:50
서귀포자연휴양림	여행	관광,명소	휴양림/숲길걷기	2000	60	30	7:30	18:00
섭지코지	여행	관광,명소	자연경관	1000	50	10	10:00	18:00
성산일출봉	여행	관광,명소	산봉우리/등산로	2000	55	15	5:30	19:30
성읍민속마을	여행	관광,명소	테마파크	0	35	10	9:00	18:00
소인국테마파크	여행	관광,명소	테마파크	9000	50	10	8:30	17:30
소정방폭포	여행	관광,명소	폭포/계곡	0	30	10	7:30	18:00
송악공원	여행	관광,명소	공원	0	60	10	7:30	18:00
송악산	여행	관광,명소	산봉우리/등산로	0	40	10	7:30	18:00
쇠소깍	여행	관광,명소	자연경관	6000	40	20	9:00	17:30
수월봉	여행	관광,명소	산봉우리/등산로	0	60	10	7:30	18:00
신산공원	여행	관광,명소	공원	0	30	5	7:30	18:00
아부오름	여행	관광,명소	산봉우리/등산로	0	60	10	7:30	18:00
아프리카박물관	여행	관광,명소	미술관/박물관	8000	60	10	9:00	19:00
