#title	latitude	longitude	category	subcategory	subsubcategory
상일동역 5호선	37.55667788	127.1659058	교통,수송	지하철,전철	수도권지하철5호선
보산역 1호선	37.91414492	127.0571788	교통,수송	지하철,전철	수도권지하철1호선
신갈역 분당선	37.28614836	127.1112848	교통,수송	지하철,전철	수도권지하철분당선
공항시장역 9호선	37.56368833	126.8106085	교통,수송	지하철,전철	수도권지하철9호선
송도역 수인선	37.43015544	126.6543991	교통,수송	지하철,전철	수인선
반포역 7호선	37.50816143	127.0115862	교통,수송	지하철,전철	수도권지하철7호선
청담역 7호선	37.51945558	127.0537179	교통,수송	지하철,전철	수도권지하철7호선
선릉역 2호선	37.50449737	127.0489617	교통,수송	지하철,전철	수도권지하철2호선
월롱역 경의중앙선	37.79621464	126.7925859	교통,수송	지하철,전철	수도권지하철경의중앙선
건대입구역 2호선	37.54040842	127.0692029	교통,수송	지하철,전철	수도권지하철2호선
경찰병원역 3호선	37.49600492	127.1244824	교통,수송	지하철,전철	수도권지하철3호선
한남역 경의중앙선	37.52942892	127.0092091	교통,수송	지하철,전철	수도권지하철경의중앙선
목동역 5호선	37.52613331	126.8646253	교통,수송	지하철,전철	수도권지하철5호선
논현역 7호선	37.5112018	127.0216531	교통,수송	지하철,전철	수도권지하철7호선
검암역 공항철도	37.56925282	126.6736433	교통,수송	지하철,전철	수도권지하철공항선
고잔역 4호선	37.31687657	126.8230209	교통,수송	지하철,전철	수도권지하철4호선
우장산역 5호선	37.54881709	126.8363251	교통,수송	지하철,전철	수도권지하철5호선
도곡역 3호선	37.49097578	127.0554977	교통,수송	지하철,전철	수도권지하철3호선
강남구청역 7호선	37.51721527	127.0413098	교통,수송	지하철,전철	수도권지하철7호선
총신대입구역 4호선	37.4867996	126.9822119	교통,수송	지하철,전철	수도권지하철4호선
압구정역 3호선	37.52649218	127.0285087	교통,수송	지하철,전철	수도권지하철3호선
역곡역 1호선	37.48531436	126.8120593	교통,수송	지하철,전철	수도권지하철1호선
청량리역 경의중앙선	37.58055291	127.0480741	교통,수송	지하철,전철	수도권지하철경의중앙선
홍대입구역 경의중앙선	37.55744949	126.9271189	교통,수송	지하철,전철	수도권지하철경의중앙선
파주역 경의중앙선	37.81536558	126.7926913	교통,수송	지하철,전철	수도권지하철경의중앙선
길음역 4호선	37.60339478	127.0250591	교통,수송	지하철,전철	수도권지하철4호선
충무로역 3호선	37.56139658	126.9941507	교통,수송	지하철,전철	수도권지하철3호선
군포역 1호선	37.35419228	126.9485175	교통,수송	지하철,전철	수도권지하철1호선
운정역 경의중앙선	37.72560361	126.767161	교통,수송	지하철,전철	수도권지하철경의중앙선
양천구청역 2호선	37.51238887	126.8657224	교통,수송	지하철,전철	수도권지하철2호선
도곡역 분당선	37.4916283	127.0551092	교통,수송	지하철,전철	수도권지하철분당선
중랑역 경의중앙선	37.59496477	127.0762376	교통,수송	지하철,전철	수도권지하철경의중앙선
원흥역 3호선	37.65069218	126.8730252	교통,수송	지하철,전철	수도권지하철3호선
신중동역 7호선	37.50295254	126.7768972	교통,수송	지하철,전철	수도권지하철7호선
별내역 경춘선	37.64206797	127.1269691	교통,수송	지하철,전철	수도권지하철경춘선
돌곶이역 6호선	37.61054501	127.0564381	교통,수송	지하철,전철	수도권지하철6호선
도봉산역 1호선	37.68951168	127.0460627	교통,수송	지하철,전철	수도권지하철1호선
범계역 4호선	37.38978375	126.9507833	교통,수송	지하철,전철	수도권지하철4호선
가산디지털단지 1호선	37.48039597	126.8826618	교통,수송	지하철,전철	수도권지하철1호선
연신내역 3호선	37.61920325	126.9211007	교통,수송	지하철,전철	수도권지하철3호선
선정릉역 9호선	37.51032342	127.044016	교통,수송	지하철,전철	수도권지하철9호선
금정역 4호선	37.37247001	126.9434743	교통,수송	지하철,전철	수도권지하철4호선
대방역 1호선	37.51335414	126.9264968	교통,수송	지하철,전철	수도권지하철1호선
선릉역 분당선	37.50516783	127.0487088	교통,수송	지하철,전철	수도권지하철분당선
공릉역 7호선	37.62554276	127.0730336	교통,수송	지하철,전철	수도권지하철7호선
동대문역사문화공원역 5호선	37.56462215	127.0057907	교통,수송	지하철,전철	수도권지하철5호선
암사역 8호선	37.55015908	127.1275419	교통,수송	지하철,전철	수도권지하철8호선
공덕역 경의중앙선	37.54247351	126.9527198	교통,수송	지하철,전철	수도권지하철경의중앙선
개화산역 5호선	37.57253715	126.8068143	교통,수송	지하철,전철	수도권지하철5호선
관악역 1호선	37.41956796	126.9085	교통,수송	지하철,전철	수도권지하철1호선
태릉입구역 6호선	37.61734991	127.0747518	교통,수송	지하철,전철	수도권지하철6호선
종합운동장역 9호선	37.51140979	127.0763245	교통,수송	지하철,전철	수도권지하철9호선
정왕역 4호선	37.35182296	126.7429299	교통,수송	지하철,전철	수도권지하철4호선
6호선 응암역	37.59928385	126.9154235	교통,수송	지하철,전철	
덕소역 경의중앙선	37.58689033	127.2088427	교통,수송	지하철,전철	수도권지하철경의중앙선
중화역 7호선	37.60255269	127.079312	교통,수송	지하철,전철	수도권지하철7호선
수색역 경의중앙선	37.58086257	126.8956595	교통,수송	지하철,전철	수도권지하철경의중앙선
고속터미널역 3호선	37.50454705	127.005121	교통,수송	지하철,전철	수도권지하철3호선
원덕역 경의중앙선	37.46878174	127.5465587	교통,수송	지하철,전철	수도권지하철경의중앙선
온수역 7호선	37.49196754	126.8238479	교통,수송	지하철,전철	수도권지하철7호선
봉명역 1호선	36.80147029	127.1360427	교통,수송	지하철,전철	수도권지하철1호선
부개역 1호선	37.48847704	126.7407301	교통,수송	지하철,전철	수도권지하철1호선
덕계역 1호선	37.81875258	127.0566917	교통,수송	지하철,전철	수도권지하철1호선
광나루역 5호선	37.54529917	127.1035215	교통,수송	지하철,전철	수도권지하철5호선
남태령역 4호선	37.46424996	126.9890853	교통,수송	지하철,전철	수도권지하철4호선
숙대입구역 4호선	37.54459523	126.9721181	교통,수송	지하철,전철	수도권지하철4호선
천호역 5호선	37.53851121	127.1239285	교통,수송	지하철,전철	수도권지하철5호선
광명역 1호선	37.41673622	126.8849617	교통,수송	지하철,전철	수도권지하철1호선
노들역 9호선	37.51267212	126.9530961	교통,수송	지하철,전철	수도권지하철9호선
지제역 1호선	37.01890035	127.0705116	교통,수송	지하철,전철	수도권지하철1호선
을지로4가역 2호선	37.5666405	126.9976321	교통,수송	지하철,전철	수도권지하철2호선
신정역 5호선	37.52502761	126.8560975	교통,수송	지하철,전철	수도권지하철5호선
굽은다리역 5호선	37.54551759	127.1428827	교통,수송	지하철,전철	수도권지하철5호선
보정역 분당선	37.31277492	127.1083368	교통,수송	지하철,전철	수도권지하철분당선
가양역 9호선	37.56143312	126.8544203	교통,수송	지하철,전철	수도권지하철9호선
망우역 경춘선	37.60001731	127.0917387	교통,수송	지하철,전철	수도권지하철경춘선
미아사거리역 4호선	37.61327926	127.0300866	교통,수송	지하철,전철	수도권지하철4호선
대곡역 3호선	37.63169556	126.81093	교통,수송	지하철,전철	수도권지하철3호선
가산디지털단지역 7호선	37.48039597	126.8826618	교통,수송	지하철,전철	수도권지하철7호선
산본역 4호선	37.35815634	126.9331862	교통,수송	지하철,전철	수도권지하철4호선
신도림역 2호선	37.50822039	126.8916121	교통,수송	지하철,전철	수도권지하철2호선
시청역 부산1호선	35.17967947	129.0765591	교통,수송	지하철,전철	부산지하철1호선
도림천역 2호선	37.51450804	126.8826491	교통,수송	지하철,전철	수도권지하철2호선
오이도역 수인선	37.36266589	126.7388111	교통,수송	지하철,전철	수인선
퇴계원역 경춘선	37.64846656	127.144376	교통,수송	지하철,전철	수도권지하철경춘선
을지로입구역 2호선	37.56603732	126.982193	교통,수송	지하철,전철	수도권지하철2호선
명일역 5호선	37.5513979	127.1440437	교통,수송	지하철,전철	수도권지하철5호선
신논현역 9호선	37.50481111	127.025492	교통,수송	지하철,전철	수도권지하철9호선
탄현역 경의중앙선	37.69398894	126.7610783	교통,수송	지하철,전철	수도권지하철경의중앙선
아차산역 5호선	37.55224827	127.0895661	교통,수송	지하철,전철	수도권지하철5호선
역촌역 6호선	37.60622656	126.9228449	교통,수송	지하철,전철	수도권지하철6호선
왕십리역 2호선	37.56126836	127.0371011	교통,수송	지하철,전철	수도권지하철2호선
소요산역 1호선	37.94889759	127.0611286	교통,수송	지하철,전철	수도권지하철1호선
아산역 1호선	36.79211657	127.1040767	교통,수송	지하철,전철	수도권지하철1호선
외대앞역 1호선	37.59627324	127.0636925	교통,수송	지하철,전철	수도권지하철1호선
망포역 분당선	37.24583837	127.0568548	교통,수송	지하철,전철	수도권지하철분당선
신길온천역 4호선	37.33763306	126.7670414	교통,수송	지하철,전철	수도권지하철4호선
간석역 1호선	37.46470718	126.6935179	교통,수송	지하철,전철	수도권지하철1호선
수서역 3호선	37.48756025	127.1024105	교통,수송	지하철,전철	수도권지하철3호선
병점역 1호선	37.2067527	127.0332004	교통,수송	지하철,전철	수도권지하철1호선
장한평역 5호선	37.56160299	127.0637037	교통,수송	지하철,전철	수도권지하철5호선
양원역 경의중앙선	37.60660606	127.1079461	교통,수송	지하철,전철	수도권지하철경의중앙선
대치역 3호선	37.49449665	127.0632034	교통,수송	지하철,전철	수도권지하철3호선
화서역 1호선	37.28400168	126.989612	교통,수송	지하철,전철	수도권지하철1호선
당산역 9호선	37.53378924	126.9021651	교통,수송	지하철,전철	수도권지하철9호선
창동역 4호선	37.65337064	127.0483884	교통,수송	지하철,전철	수도권지하철4호선
구룡역 분당선	37.48702743	127.0594929	교통,수송	지하철,전철	수도권지하철분당선
온수역 1호선	37.49239999	126.8238288	교통,수송	지하철,전철	수도권지하철1호선
가능역 1호선	37.74839632	127.0442883	교통,수송	지하철,전철	수도권지하철1호선
서울숲역 분당선	37.5436458	127.0447462	교통,수송	지하철,전철	수도권지하철분당선
구반포역 9호선	37.50143983	126.9874649	교통,수송	지하철,전철	수도권지하철9호선
방화역 5호선	37.5776032	126.8128193	교통,수송	지하철,전철	수도권지하철5호선
잠실역 2호선	37.51331286	127.1002288	교통,수송	지하철,전철	수도권지하철2호선
개포동역 분당선	37.48913947	127.0661207	교통,수송	지하철,전철	수도권지하철분당선
망우역 경의중앙선	37.59929603	127.0923674	교통,수송	지하철,전철	수도권지하철경의중앙선
개봉역 1호선	37.49464172	126.858716	교통,수송	지하철,전철	수도권지하철1호선
동인천역 1호선	37.47540327	126.6326161	교통,수송	지하철,전철	수도권지하철1호선
등촌역 9호선	37.55072808	126.8655721	교통,수송	지하철,전철	수도권지하철9호선
군자역 7호선	37.55777656	127.079844	교통,수송	지하철,전철	수도권지하철7호선
오빈역 경의중앙선	37.50616717	127.4736614	교통,수송	지하철,전철	수도권지하철경의중앙선
불광역 3호선	37.6100478	126.9303158	교통,수송	지하철,전철	수도권지하철3호선
신설동역 2호선	37.57480452	127.0249182	교통,수송	지하철,전철	수도권지하철2호선
일원역 3호선	37.48398867	127.0841298	교통,수송	지하철,전철	수도권지하철3호선
수락산역 7호선	37.67788147	127.055351	교통,수송	지하철,전철	수도권지하철7호선
신당역 6호선	37.56609161	127.016177	교통,수송	지하철,전철	수도권지하철6호선
노원역 7호선	37.65532926	127.0603749	교통,수송	지하철,전철	수도권지하철7호선
청구역 6호선	37.56091655	127.0141658	교통,수송	지하철,전철	수도권지하철6호선
공항화물청사역 공항철도	37.4590625	126.4775144	교통,수송	지하철,전철	수도권지하철공항선
주안역 1호선	37.46509129	126.6806935	교통,수송	지하철,전철	수도권지하철1호선
노량진역 9호선	37.51358567	126.9408932	교통,수송	지하철,전철	수도권지하철9호선
복정역 8호선	37.47074187	127.126724	교통,수송	지하철,전철	수도권지하철8호선
상봉역 경춘선	37.59697334	127.0850857	교통,수송	지하철,전철	수도권지하철경춘선
망월사역 1호선	37.71021916	127.0474183	교통,수송	지하철,전철	수도권지하철1호선
천마산역 경춘선	37.65901787	127.2853838	교통,수송	지하철,전철	수도권지하철경춘선
성신여대입구역 4호선	37.59274655	127.0166538	교통,수송	지하철,전철	수도권지하철4호선
정자역 신분당선	37.36732672	127.1085191	교통,수송	지하철,전철	수도권지하철신분당선
종로3가역 3호선	37.57156329	126.9918769	교통,수송	지하철,전철	수도권지하철3호선
화랑대역 6호선	37.61984155	127.0835441	교통,수송	지하철,전철	수도권지하철6호선
삼각지역 6호선	37.5356073	126.974054	교통,수송	지하철,전철	수도권지하철6호선
삼각지역 4호선	37.53443934	126.972923	교통,수송	지하철,전철	수도권지하철4호선
한티역 분당선	37.4962857	127.0529097	교통,수송	지하철,전철	수도권지하철분당선
응암역 6호선	37.59849106	126.9155422	교통,수송	지하철,전철	수도권지하철6호선
상계역 4호선	37.66072054	127.0734216	교통,수송	지하철,전철	수도권지하철4호선
경복궁역 3호선	37.57580612	126.9736914	교통,수송	지하철,전철	수도권지하철3호선
도봉역 1호선	37.6792119	127.0455349	교통,수송	지하철,전철	수도권지하철1호선
굴포천역 7호선	37.50704559	126.7313464	교통,수송	지하철,전철	수도권지하철7호선
신천역 2호선	37.51162636	127.0863143	교통,수송	지하철,전철	수도권지하철2호선
수원시청역 분당선	37.26192262	127.0308572	교통,수송	지하철,전철	수도권지하철분당선
도원역 1호선	37.46856108	126.6426198	교통,수송	지하철,전철	수도권지하철1호선
강변역 2호선	37.53511804	127.0947411	교통,수송	지하철,전철	수도권지하철2호선
서강대역 경의중앙선	37.55213849	126.9355076	교통,수송	지하철,전철	수도권지하철경의중앙선
애오개역 5호선	37.55341315	126.9566694	교통,수송	지하철,전철	수도권지하철5호선
춘천역 경춘선	37.88451274	127.7166986	교통,수송	지하철,전철	수도권지하철경춘선
신설동역 1호선	37.57602997	127.0244567	교통,수송	지하철,전철	수도권지하철1호선
수원역 1호선	37.26568218	127.0000496	교통,수송	지하철,전철	수도권지하철1호선
도농역	37.60877623	127.1611606	교통,수송	지하철,전철	수도권지하철경의중앙선
신금호역 5호선	37.55447529	127.0204932	교통,수송	지하철,전철	수도권지하철5호선
옥수역 경의중앙선	37.5405137	127.0187468	교통,수송	지하철,전철	수도권지하철경의중앙선
노량진역 1호선	37.5140548	126.9421099	교통,수송	지하철,전철	수도권지하철1호선
국회의사당역 9호선	37.5281465	126.917839	교통,수송	지하철,전철	수도권지하철9호선
부천시청역 7호선	37.50465743	126.7640127	교통,수송	지하철,전철	수도권지하철7호선
부천역 1호선	37.48398888	126.7830817	교통,수송	지하철,전철	수도권지하철1호선
백운역 1호선	37.4833425	126.7072944	교통,수송	지하철,전철	수도권지하철1호선
호구포역 수인선	37.40164217	126.7086832	교통,수송	지하철,전철	수인선
인천시청역 인천1호선	37.45773764	126.7022357	교통,수송	지하철,전철	인천지하철1호선
마포구청역 6호선	37.56348719	126.9034256	교통,수송	지하철,전철	수도권지하철6호선
동대문역 1호선	37.5716676	127.0106315	교통,수송	지하철,전철	수도권지하철1호선
영통역 분당선	37.25150351	127.0713319	교통,수송	지하철,전철	수도권지하철분당선
용두역 2호선	37.57406213	127.0382757	교통,수송	지하철,전철	수도권지하철2호선
봉명역 1호선 2번출구	36.80134836	127.1354956	교통,수송	지하철,전철	
용문역 경의중앙선	37.48180207	127.5937953	교통,수송	지하철,전철	수도권지하철경의중앙선
상갈역 분당선	37.26181183	127.1087373	교통,수송	지하철,전철	수도권지하철분당선
마곡나루역 9호선	37.56671261	126.8274209	교통,수송	지하철,전철	수도권지하철9호선
쌍문역 4호선	37.64854261	127.0346561	교통,수송	지하철,전철	수도권지하철4호선
신반포역 9호선	37.50350914	126.9960824	교통,수송	지하철,전철	수도권지하철9호선
마천역 5호선	37.49503816	127.1528599	교통,수송	지하철,전철	수도권지하철5호선
매교역 분당선	37.26551532	127.0159006	교통,수송	지하철,전철	수도권지하철분당선
철산역 7호선	37.47619284	126.868211	교통,수송	지하철,전철	수도권지하철7호선
약수역 6호선	37.55392522	127.0101537	교통,수송	지하철,전철	수도권지하철6호선
달월역 수인선	37.38002677	126.7454035	교통,수송	지하철,전철	수인선
마곡역 5호선	37.56018177	126.824688	교통,수송	지하철,전철	수도권지하철5호선
증산역 6호선	37.58374635	126.909495	교통,수송	지하철,전철	수도권지하철6호선
대청역 3호선	37.49370832	127.079527	교통,수송	지하철,전철	수도권지하철3호선
동묘앞역 6호선	37.57217159	127.0157256	교통,수송	지하철,전철	수도권지하철6호선
영등포구청역 5호선	37.52422916	126.8953221	교통,수송	지하철,전철	수도권지하철5호선
하계역 7호선	37.63647654	127.0679913	교통,수송	지하철,전철	수도권지하철7호선
석계역 6호선	37.61514912	127.0667033	교통,수송	지하철,전철	수도권지하철6호선
성수역 2호선	37.54458882	127.056067	교통,수송	지하철,전철	수도권지하철2호선
장지역 8호선	37.47863169	127.1261766	교통,수송	지하철,전철	수도권지하철8호선
교대역 3호선	37.49274317	127.013868	교통,수송	지하철,전철	수도권지하철3호선
시청역 1호선	37.5653445	126.9771993	교통,수송	지하철,전철	수도권지하철1호선
합정역 2호선	37.54991226	126.9144563	교통,수송	지하철,전철	수도권지하철2호선
